"No.","Time","Source","Destination","Protocol","Length","Expert Info","Bluetooth","Data Total Length","Data","CID","Payload","Info"
"1","17:03:26.271000","","","PKTLOG","24","","â\234\223","","","","","Product: MacBookPro15,4"
"2","17:03:26.271000","","","PKTLOG","28","","â\234\223","","","","","Firmware Version: 85.87.148"
"3","17:03:26.271000","","","PKTLOG","18","","â\234\223","","","","","Chipset: BCM_4377"
"4","17:03:26.271000","","","PKTLOG","16","","â\234\223","","","","","Transport: PCIe"
"5","17:03:26.271000","","","PKTLOG","85","","â\234\223","","","","","Firmware Filename: BCM4377B3_85.87.148_PCIE_Formosa_MFG_GEN_20211221_PROD.signed.bin"
"6","17:03:26.271000","","","PKTLOG","38","","â\234\223","","","","","Software: Version 12.6 (Build 21G115)"
"7","18:21:42.513000","","","PKTLOG","39","â\234\223","â\234\223","","","","",""
"8","18:21:42.525000","localhost ()","remote ()","L2CAP","25","â\234\223","â\234\223","638","â\234\223","Dynamically Allocated Channel","8060025600bad1150000000047fc0000","Sent Connection oriented channel"
"9","18:21:42.548000","localhost ()","remote ()","L2CAP","25","â\234\223","â\234\223","640","â\234\223","Dynamically Allocated Channel","8060025700bad12c0000000047fc0000","Sent Connection oriented channel"
"10","18:21:42.551000","controller","host","HCI_EVT","8","","â\234\223","","","","","Rcvd Number of Completed Packets"
"11","18:21:42.560000","controller","host","HCI_EVT","8","","â\234\223","","","","","Rcvd Number of Completed Packets"
"12","18:21:42.560000","controller","host","HCI_EVT","8","","â\234\223","","","","","Rcvd Number of Completed Packets"
"13","18:21:42.571000","localhost ()","remote ()","L2CAP","25","â\234\223","â\234\223","610","â\234\223","Dynamically Allocated Channel","8060025800bad1430000000047fc0000","Sent Connection oriented channel"
"14","18:21:42.595000","localhost ()","remote ()","L2CAP","25","â\234\223","â\234\223","612","â\234\223","Dynamically Allocated Channel","8060025900bad15a0000000047fc0000","Sent Connection oriented channel"
"15","18:21:42.597000","controller","host","HCI_EVT","8","","â\234\223","","","","","Rcvd Number of Completed Packets"
"16","18:21:42.618000","localhost ()","remote ()","L2CAP","25","â\234\223","â\234\223","617","â\234\223","Dynamically Allocated Channel","8060025a00bad1710000000047fc0000","Sent Connection oriented channel"
"17","18:21:42.626000","controller","host","HCI_EVT","8","","â\234\223","","","","","Rcvd Number of Completed Packets"
"18","18:21:42.626000","controller","host","HCI_EVT","8","","â\234\223","","","","","Rcvd Number of Completed Packets"
"19","18:21:42.641000","localhost ()","remote ()","L2CAP","25","â\234\223","â\234\223","615","â\234\223","Dynamically Allocated Channel","8060025b00bad1890000000047fc0000","Sent Connection oriented channel"
"20","18:21:42.664000","localhost ()","remote ()","L2CAP","25","â\234\223","â\234\223","623","â\234\223","Dynamically Allocated Channel","8060025c00bad1a00000000047fc0000","Sent Connection oriented channel"
"21","18:21:42.667000","controller","host","HCI_EVT","8","","â\234\223","","","","","Rcvd Number of Completed Packets"
"22","18:21:42.687000","localhost ()","remote ()","L2CAP","25","â\234\223","â\234\223","615","â\234\223","Dynamically Allocated Channel","8060025d00bad1b70000000047fc0000","Sent Connection oriented channel"
"23","18:21:42.711000","localhost ()","remote ()","L2CAP","25","â\234\223","â\234\223","611","â\234\223","Dynamically Allocated Channel","8060025e00bad1ce0000000047fc0000","Sent Connection oriented channel"
"24","18:21:42.713000","controller","host","HCI_EVT","8","","â\234\223","","","","","Rcvd Number of Completed Packets"
"25","18:21:42.734000","localhost ()","remote ()","L2CAP","25","â\234\223","â\234\223","616","â\234\223","Dynamically Allocated Channel","8060025f00bad1e60000000047fc0000","Sent Connection oriented channel"
"26","18:21:42.736000","controller","host","HCI_EVT","8","","â\234\223","","","","","Rcvd Number of Completed Packets"
