No.,Time,Source,Destination,Protocol,Length,CID,Payload,Info
571,14:02.0,localhost (),remote (),L2CAP,628,Dynamically Allocated Channel,8060053500c99fef0000000047fc0000,Sent Connection oriented channel
572,14:02.0,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
573,14:02.0,localhost (),remote (),L2CAP,626,Dynamically Allocated Channel,8060053600c9a0030000000047fc0000,Sent Connection oriented channel
574,14:02.0,localhost (),remote (),L2CAP,663,Dynamically Allocated Channel,8060053700c9a0170000000047fc0000,Sent Connection oriented channel
575,14:02.0,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
576,14:02.0,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
577,14:02.0,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
578,14:02.0,controller,host,HCI_EVT,,,,Rcvd LE Meta (LE Advertising Report)
579,14:02.0,localhost (),remote (),L2CAP,637,Dynamically Allocated Channel,8060053800c9a0350000000047fc0000,Sent Connection oriented channel
580,14:02.1,localhost (),remote (),L2CAP,641,Dynamically Allocated Channel,8060053900c9a0490000000047fc0000,Sent Connection oriented channel
581,14:02.1,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
582,14:02.1,localhost (),remote (),L2CAP,649,Dynamically Allocated Channel,8060053a00c9a05d0000000047fc0000,Sent Connection oriented channel
583,14:02.1,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
584,14:02.1,controller,host,HCI_EVT,,,,Rcvd LE Meta (LE Advertising Report)
585,14:02.1,localhost (),remote (),L2CAP,656,Dynamically Allocated Channel,8060053b00c9a07b0000000047fc0000,Sent Connection oriented channel
586,14:02.1,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
587,14:02.1,controller,host,HCI_EVT,,,,Rcvd LE Meta (LE Advertising Report)
588,14:02.1,localhost (),remote (),L2CAP,670,Dynamically Allocated Channel,8060053c00c9a08f0000000047fc0000,Sent Connection oriented channel
589,14:02.1,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
590,14:02.1,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
591,14:02.1,localhost (),remote (),L2CAP,614,Dynamically Allocated Channel,8060053d00c9a0a30000000047fc0000,Sent Connection oriented channel
592,14:02.2,localhost (),remote (),L2CAP,633,Dynamically Allocated Channel,8060053e00c9a0c10000000047fc0000,Sent Connection oriented channel
593,14:02.2,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
594,14:02.2,localhost (),remote (),L2CAP,624,Dynamically Allocated Channel,8060053f00c9a0d50000000047fc0000,Sent Connection oriented channel
595,14:02.2,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
596,14:02.2,localhost (),remote (),L2CAP,616,Dynamically Allocated Channel,8060054000c9a0e90000000047fc0000,Sent Connection oriented channel
597,14:02.2,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
598,14:02.2,localhost (),remote (),L2CAP,627,Dynamically Allocated Channel,8060054100c9a1070000000047fc0000,Sent Connection oriented channel
599,14:02.2,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
600,14:02.3,localhost (),remote (),L2CAP,622,Dynamically Allocated Channel,8060054200c9a11b0000000047fc0000,Sent Connection oriented channel
601,14:02.3,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
602,14:02.3,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
603,14:02.3,localhost (),remote (),L2CAP,624,Dynamically Allocated Channel,8060054300c9a12f0000000047fc0000,Sent Connection oriented channel
604,14:02.3,localhost (),remote (),L2CAP,647,Dynamically Allocated Channel,8060054400c9a14d0000000047fc0000,Sent Connection oriented channel
605,14:02.3,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
606,14:02.3,localhost (),remote (),L2CAP,645,Dynamically Allocated Channel,8060054500c9a1610000000047fc0000,Sent Connection oriented channel
607,14:02.3,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
608,14:02.4,localhost (),remote (),L2CAP,631,Dynamically Allocated Channel,8060054600c9a1750000000047fc0000,Sent Connection oriented channel
609,14:02.4,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
610,14:02.4,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
611,14:02.4,localhost (),remote (),L2CAP,634,Dynamically Allocated Channel,8060054700c9a1930000000047fc0000,Sent Connection oriented channel
612,14:02.4,localhost (),remote (),L2CAP,638,Dynamically Allocated Channel,8060054800c9a1a70000000047fc0000,Sent Connection oriented channel
613,14:02.4,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
614,14:02.4,localhost (),remote (),L2CAP,647,Dynamically Allocated Channel,8060054900c9a1bb0000000047fc0000,Sent Connection oriented channel
615,14:02.4,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
616,14:02.4,localhost (),remote (),L2CAP,634,Dynamically Allocated Channel,8060054a00c9a1cf0000000047fc0000,Sent Connection oriented channel
617,14:02.4,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
618,14:02.4,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
619,14:02.5,localhost (),remote (),L2CAP,622,Dynamically Allocated Channel,8060054b00c9a1ed0000000047fc0000,Sent Connection oriented channel
620,14:02.5,localhost (),remote (),L2CAP,610,Dynamically Allocated Channel,8060054c00c9a2010000000047fc0000,Sent Connection oriented channel
621,14:02.5,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
622,14:02.5,host,controller,HCI_CMD,,,,Sent LE Set Scan Enable
623,14:02.5,controller,host,HCI_EVT,,,,Rcvd Command Complete (LE Set Scan Enable)
624,14:02.5,host,controller,HCI_CMD,,,,Sent Vendor Command 0x00E9 (opcode 0xFCE9)
625,14:02.5,controller,host,HCI_EVT,,,,Rcvd Command Complete (Vendor Command 0x00E9 [opcode 0xFCE9])
626,14:02.5,host,controller,HCI_CMD,,,,Sent Vendor Command 0x00E9 (opcode 0xFCE9)
627,14:02.5,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
628,14:02.5,controller,host,HCI_EVT,,,,Rcvd Command Complete (Vendor Command 0x00E9 [opcode 0xFCE9])
629,14:02.5,host,controller,HCI_CMD,,,,Sent Vendor Command 0x00E9 (opcode 0xFCE9)
630,14:02.5,localhost (),remote (),L2CAP,643,Dynamically Allocated Channel,8060054d00c9a2150000000047fc0000,Sent Connection oriented channel
631,14:02.5,controller,host,HCI_EVT,,,,Rcvd Command Complete (Vendor Command 0x00E9 [opcode 0xFCE9])
632,14:02.5,host,controller,HCI_CMD,,,,Sent Vendor Command 0x00E9 (opcode 0xFCE9)
633,14:02.5,localhost (),remote (),L2CAP,648,Dynamically Allocated Channel,8060054e00c9a2330000000047fc0000,Sent Connection oriented channel
634,14:02.5,controller,host,HCI_EVT,,,,Rcvd Command Complete (Vendor Command 0x00E9 [opcode 0xFCE9])
635,14:02.5,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
636,14:02.5,host,controller,HCI_CMD,,,,Sent Vendor Command 0x00E9 (opcode 0xFCE9)
637,14:02.5,controller,host,HCI_EVT,,,,Rcvd Command Complete (Vendor Command 0x00E9 [opcode 0xFCE9])
638,14:02.5,host,controller,HCI_CMD,,,,Sent Vendor Command 0x00E9 (opcode 0xFCE9)
639,14:02.5,controller,host,HCI_EVT,,,,Rcvd Command Complete (Vendor Command 0x00E9 [opcode 0xFCE9])
640,14:02.5,host,controller,HCI_CMD,,,,Sent Vendor Command 0x00E9 (opcode 0xFCE9)
641,14:02.6,controller,host,HCI_EVT,,,,Rcvd Command Complete (Vendor Command 0x00E9 [opcode 0xFCE9])
642,14:02.6,host,controller,HCI_CMD,,,,Sent Vendor Command 0x00E9 (opcode 0xFCE9)
643,14:02.6,controller,host,HCI_EVT,,,,Rcvd Command Complete (Vendor Command 0x00E9 [opcode 0xFCE9])
644,14:02.6,host,controller,HCI_CMD,,,,Sent Vendor Command 0x00E9 (opcode 0xFCE9)
645,14:02.6,controller,host,HCI_EVT,,,,Rcvd Command Complete (Vendor Command 0x00E9 [opcode 0xFCE9])
646,14:02.6,host,controller,HCI_CMD,,,,Sent Vendor Command 0x00E9 (opcode 0xFCE9)
647,14:02.6,controller,host,HCI_EVT,,,,Rcvd Command Complete (Vendor Command 0x00E9 [opcode 0xFCE9])
648,14:02.6,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
649,14:02.6,host,controller,HCI_CMD,,,,Sent Vendor Command 0x00E9 (opcode 0xFCE9)
650,14:02.6,localhost (),remote (),L2CAP,644,Dynamically Allocated Channel,8060054f00c9a2470000000047fc0000,Sent Connection oriented channel
651,14:02.6,controller,host,HCI_EVT,,,,Rcvd Command Complete (Vendor Command 0x00E9 [opcode 0xFCE9])
652,14:02.6,host,controller,HCI_CMD,,,,Sent Vendor Command 0x00E9 (opcode 0xFCE9)
653,14:02.6,controller,host,HCI_EVT,,,,Rcvd Command Complete (Vendor Command 0x00E9 [opcode 0xFCE9])
654,14:02.6,host,controller,HCI_CMD,,,,Sent Vendor Command 0x00E9 (opcode 0xFCE9)
655,14:02.6,controller,host,HCI_EVT,,,,Rcvd Command Complete (Vendor Command 0x00E9 [opcode 0xFCE9])
656,14:02.6,host,controller,HCI_CMD,,,,Sent Vendor Command 0x00E9 (opcode 0xFCE9)
657,14:02.6,controller,host,HCI_EVT,,,,Rcvd Command Complete (Vendor Command 0x00E9 [opcode 0xFCE9])
658,14:02.6,host,controller,HCI_CMD,,,,Sent Vendor Command 0x00E9 (opcode 0xFCE9)
659,14:02.6,controller,host,HCI_EVT,,,,Rcvd Command Complete (Vendor Command 0x00E9 [opcode 0xFCE9])
660,14:02.6,host,controller,HCI_CMD,,,,Sent Vendor Command 0x00E9 (opcode 0xFCE9)
661,14:02.6,controller,host,HCI_EVT,,,,Rcvd Command Complete (Vendor Command 0x00E9 [opcode 0xFCE9])
662,14:02.6,host,controller,HCI_CMD,,,,Sent Vendor Command 0x00E9 (opcode 0xFCE9)
663,14:02.6,controller,host,HCI_EVT,,,,Rcvd Command Complete (Vendor Command 0x00E9 [opcode 0xFCE9])
664,14:02.6,host,controller,HCI_CMD,,,,Sent Vendor Command 0x00E9 (opcode 0xFCE9)
665,14:02.6,localhost (),remote (),L2CAP,659,Dynamically Allocated Channel,8060055000c9a25b0000000047fc0000,Sent Connection oriented channel
666,14:02.6,controller,host,HCI_EVT,,,,Rcvd Command Complete (Vendor Command 0x00E9 [opcode 0xFCE9])
667,14:02.6,host,controller,HCI_CMD,,,,Sent LE Set Scan Parameters
668,14:02.6,controller,host,HCI_EVT,,,,Rcvd Command Complete (LE Set Scan Parameters)
669,14:02.6,host,controller,HCI_CMD,,,,Sent LE Set Scan Enable
670,14:02.6,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
671,14:02.6,controller,host,HCI_EVT,,,,Rcvd Command Complete (LE Set Scan Enable)
672,14:02.6,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
673,14:02.6,controller,host,HCI_EVT,,,,Rcvd LE Meta (LE Advertising Report)
674,14:02.6,localhost (),remote (),L2CAP,629,Dynamically Allocated Channel,8060055100c9a2790000000047fc0000,Sent Connection oriented channel
675,14:02.6,localhost (),remote (),L2CAP,645,Dynamically Allocated Channel,8060055200c9a28d0000000047fc0000,Sent Connection oriented channel
676,14:02.6,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
677,14:02.7,localhost (),remote (),L2CAP,655,Dynamically Allocated Channel,8060055300c9a2a10000000047fc0000,Sent Connection oriented channel
678,14:02.7,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
679,14:02.7,controller,host,HCI_EVT,,,,Rcvd LE Meta (LE Advertising Report)
680,14:02.7,controller,host,HCI_EVT,,,,Rcvd LE Meta (LE Advertising Report)
681,14:02.7,localhost (),remote (),L2CAP,639,Dynamically Allocated Channel,8060055400c9a2bf0000000047fc0000,Sent Connection oriented channel
682,14:02.7,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
683,14:02.7,localhost (),remote (),L2CAP,648,Dynamically Allocated Channel,8060055500c9a2d30000000047fc0000,Sent Connection oriented channel
684,14:02.7,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
685,14:02.7,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
686,14:02.7,localhost (),remote (),L2CAP,620,Dynamically Allocated Channel,8060055600c9a2e70000000047fc0000,Sent Connection oriented channel
687,14:02.8,localhost (),remote (),L2CAP,616,Dynamically Allocated Channel,8060055700c9a3050000000047fc0000,Sent Connection oriented channel
688,14:02.8,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
689,14:02.8,localhost (),remote (),L2CAP,610,Dynamically Allocated Channel,8060055800c9a3190000000047fc0000,Sent Connection oriented channel
690,14:02.8,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
691,14:02.8,localhost (),remote (),L2CAP,640,Dynamically Allocated Channel,8060055900c9a32d0000000047fc0000,Sent Connection oriented channel
692,14:02.8,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
693,14:02.8,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
694,14:02.8,localhost (),remote (),L2CAP,614,Dynamically Allocated Channel,8060055a00c9a34b0000000047fc0000,Sent Connection oriented channel
695,14:02.8,localhost (),remote (),L2CAP,654,Dynamically Allocated Channel,8060055b00c9a35f0000000047fc0000,Sent Connection oriented channel
696,14:02.8,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
697,14:02.9,localhost (),remote (),L2CAP,642,Dynamically Allocated Channel,8060055c00c9a3730000000047fc0000,Sent Connection oriented channel
698,14:02.9,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
699,14:02.9,localhost (),remote (),L2CAP,656,Dynamically Allocated Channel,8060055d00c9a3910000000047fc0000,Sent Connection oriented channel
700,14:02.9,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
701,14:02.9,localhost (),remote (),L2CAP,654,Dynamically Allocated Channel,8060055e00c9a3a50000000047fc0000,Sent Connection oriented channel
702,14:02.9,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
703,14:02.9,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
