No.,Time,Source,Destination,Protocol,Length,CID,Payload,Info
1932,22:00.0,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
1933,22:00.0,controller,host,HCI_EVT,,,,Rcvd LE Meta (LE Advertising Report)
1934,22:00.0,localhost (),remote (),L2CAP,660,Dynamically Allocated Channel,8060054500bb15330000000047fc0000,Sent Connection oriented channel
1935,22:00.0,controller,host,HCI_EVT,,,,Rcvd LE Meta (LE Advertising Report)
1936,22:00.0,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
1937,22:00.0,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
1938,22:00.0,localhost (),remote (),L2CAP,662,Dynamically Allocated Channel,8060054600bb154a0000000047fc0000,Sent Connection oriented channel
1939,22:00.0,controller,host,HCI_EVT,,,,Rcvd LE Meta (LE Advertising Report)
1940,22:00.0,controller,host,HCI_EVT,,,,Rcvd LE Meta (LE Advertising Report)
1941,22:00.0,localhost (),remote (),L2CAP,672,Dynamically Allocated Channel,8060054700bb15620000000047fc0000,Sent Connection oriented channel
1942,22:00.0,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
1943,22:00.0,localhost (),remote (),L2CAP,642,Dynamically Allocated Channel,8060054800bb15790000000047fc0000,Sent Connection oriented channel
1944,22:00.0,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
1945,22:00.0,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
1946,22:00.1,localhost (),remote (),L2CAP,670,Dynamically Allocated Channel,8060054900bb15900000000047fc0000,Sent Connection oriented channel
1947,22:00.1,localhost (),remote (),L2CAP,672,Dynamically Allocated Channel,8060054a00bb15a70000000047fc0000,Sent Connection oriented channel
1948,22:00.1,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
1949,22:00.1,localhost (),remote (),L2CAP,659,Dynamically Allocated Channel,8060054b00bb15be0000000047fc0000,Sent Connection oriented channel
1950,22:00.1,localhost (),remote (),L2CAP,656,Dynamically Allocated Channel,8060054c00bb15d50000000047fc0000,Sent Connection oriented channel
1951,22:00.1,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
1952,22:00.1,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
