No.,Time,Source,Destination,Protocol,Length,CID,Payload,Info
4218,30:10.0,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
4219,30:10.0,localhost (),remote (),L2CAP,557,Dynamically Allocated Channel,806005210170ec690000000047fc0000,Sent Connection oriented channel
4220,30:10.0,localhost (),remote (),L2CAP,568,Dynamically Allocated Channel,806005220170ec810000000047fc0000,Sent Connection oriented channel
4221,30:10.0,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
4222,30:10.0,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
4223,30:10.0,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
4224,30:10.0,localhost (),remote (),L2CAP,556,Dynamically Allocated Channel,806005230170ec980000000047fc0000,Sent Connection oriented channel
4225,30:10.0,localhost (),remote (),L2CAP,555,Dynamically Allocated Channel,806005240170ecaf0000000047fc0000,Sent Connection oriented channel
4226,30:10.0,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
4227,30:10.1,localhost (),remote (),L2CAP,558,Dynamically Allocated Channel,806005250170ecc60000000047fc0000,Sent Connection oriented channel
4228,30:10.1,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
4229,30:10.1,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
4230,30:10.1,localhost (),remote (),L2CAP,562,Dynamically Allocated Channel,806005260170ecdd0000000047fc0000,Sent Connection oriented channel
4231,30:10.1,localhost (),remote (),L2CAP,556,Dynamically Allocated Channel,806005270170ecf40000000047fc0000,Sent Connection oriented channel
4232,30:10.1,localhost (),remote (),L2CAP,563,Dynamically Allocated Channel,806005280170ed0c0000000047fc0000,Sent Connection oriented channel
4233,30:10.1,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
4234,30:10.1,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
4235,30:10.1,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
4236,30:10.2,localhost (),remote (),L2CAP,557,Dynamically Allocated Channel,806005290170ed230000000047fc0000,Sent Connection oriented channel
4237,30:10.2,localhost (),remote (),L2CAP,561,Dynamically Allocated Channel,8060052a0170ed3b0000000047fc0000,Sent Connection oriented channel
4238,30:10.2,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
4239,30:10.2,localhost (),remote (),L2CAP,551,Dynamically Allocated Channel,8060052b0170ed520000000047fc0000,Sent Connection oriented channel
4240,30:10.2,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
4241,30:10.2,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
4242,30:10.2,localhost (),remote (),L2CAP,557,Dynamically Allocated Channel,8060052c0170ed690000000047fc0000,Sent Connection oriented channel
4243,30:10.2,localhost (),remote (),L2CAP,557,Dynamically Allocated Channel,8060052d0170ed800000000047fc0000,Sent Connection oriented channel
4244,30:10.3,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
4245,30:10.3,localhost (),remote (),L2CAP,553,Dynamically Allocated Channel,8060052e0170ed970000000047fc0000,Sent Connection oriented channel
4246,30:10.3,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
